Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
West,2023-11-09,342861.12,1821,65.19
North,2023-03-30,451409.63,4816,75.88
South,2023-12-31,111090.25,1981,31.93
East,2023-06-26,422042.37,1040,39.62
West,2023-10-25,275792.84,4160,55.67
North,2023-03-28,418728.64,2519,1.04
South,2023-05-15,472093.02,1217,45.1
East,2023-07-14,425703.26,1386,21.54
West,2023-05-15,489929.35,4979,71.53
North,2023-01-25,400454.77,1119,70.24
South,2023-06-21,441040.89,1886,20.92
East,2023-12-18,145012.49,2868,21.27
West,2023-08-11,194289.44,3266,15.06
North,2023-06-01,405212.74,4259,1.87
South,2023-07-29,481633.96,3070,98.21
East,2023-01-22,361726.87,2043,23.99
West,2023-10-27,270442.33,1882,8.87
North,2023-05-21,215732.13,3176,68.85
South,2023-01-09,324056.68,2789,45.54
East,2023-10-18,172517.69,2732,51.06
West,2023-06-08,346930.08,1848,17.73
North,2023-08-29,345824.63,3442,19.19
South,2023-04-02,134216.37,4875,50.53
East,2023-05-11,467015.52,3362,59.91
West,2023-08-11,322573.91,4878,50.97
North,2023-12-05,160817.87,2208,37.39
South,2023-08-30,242566.12,1055,85.35
East,2023-09-19,270633.67,3434,71.95
West,2023-11-20,186547.3,3706,98.91
North,2023-04-14,265639.3,3331,75.81
South,2023-08-04,267142.74,2412,90.68
East,2023-10-06,133874.51,3122,55.24
West,2023-04-23,194607.3,2382,91.91
North,2023-07-09,478285.78,4032,80.53
South,2023-10-25,249060.33,1166,42.08
East,2023-10-13,370737.49,1905,97.77
West,2023-09-04,327617.09,1265,68.7
North,2023-07-04,456538.91,3666,66.92
South,2023-09-01,485052.47,3709,69.41
East,2023-03-30,392612.29,4353,44.53
West,2023-06-06,130555.31,2360,47.75
North,2023-02-08,140119.49,4111,49.53
South,2023-11-16,487972.66,2493,13.19
East,2023-08-26,255895.1,2918,98.71
West,2023-11-21,354004.94,1986,41.66
North,2023-08-26,461447.69,4861,30.91
South,2023-01-14,245060.09,1532,56.67
East,2023-02-17,219115.47,3808,87.78
West,2023-07-04,178104.91,3119,74.18
North,2023-02-25,104625.6,2186,59.18
South,2023-06-01,144680.96,2622,70.11
East,2023-07-13,203984.0,1277,9.98
West,2023-12-10,488613.8,1420,91.74
North,2023-04-09,101317.98,4547,50.54
South,2023-09-26,266246.36,3751,16.56
East,2023-03-21,379164.53,1817,28.7
West,2023-02-01,161984.16,4890,9.61
North,2023-05-14,162259.06,3672,68.25
South,2023-08-23,295269.4,2834,58.62
East,2023-08-23,374072.11,4958,41.55
West,2023-09-30,256943.53,1687,19.46
North,2023-03-27,154851.01,3586,87.55
South,2023-04-08,310569.17,4321,52.26
East,2023-05-25,311205.13,3876,91.12
West,2023-07-01,368532.29,2454,7.62
North,2023-02-20,480191.74,4462,75.01
South,2023-10-04,265117.86,4937,64.57
East,2023-03-29,351888.63,4754,77.75
West,2023-02-20,490501.35,3897,72.11
North,2023-09-22,196113.76,2252,22.15
South,2023-12-10,203357.55,3822,73.39
East,2023-03-22,281530.7,2630,59.13
West,2023-08-17,106630.54,2334,17.1
North,2023-09-15,399445.94,2581,66.04
South,2023-03-01,297669.62,4943,8.97
East,2023-06-01,104394.49,3470,66.46
West,2023-12-05,432517.37,1433,95.15
North,2023-07-22,101105.66,4837,96.96
South,2023-09-08,393261.04,4866,41.48
East,2023-05-03,291574.55,4228,35.04
West,2023-11-09,268198.78,4223,37.37
North,2024-01-01,417689.27,3615,73.51
South,2023-08-21,353951.56,1791,27.33
East,2023-04-20,214615.03,1172,29.91
West,2023-09-08,400224.37,3371,68.7
North,2023-04-11,487299.36,1954,91.44
South,2023-01-25,365553.75,4620,17.63
East,2023-12-05,434082.13,4780,70.6
West,2023-08-22,364747.76,2357,67.4
North,2023-03-23,155834.88,1352,71.58
South,2023-04-10,115879.61,4349,41.41
East,2023-06-15,486666.18,4478,21.67
West,2023-11-10,143552.73,4084,33.91
North,2023-10-22,308465.78,4566,57.02
South,2023-09-17,293572.23,2673,7.5
East,2023-11-20,301069.8,2470,79.81
West,2023-11-09,237343.89,2722,18.22
North,2023-07-08,275086.82,3460,47.45
South,2023-08-21,192749.64,2527,18.96
East,2023-06-09,368864.2,1131,12.57
West,2023-09-25,141578.57,4092,56.21
North,2023-08-03,359750.63,4624,88.03
South,2023-04-11,149422.77,4755,44.2
East,2023-11-12,196833.76,3794,90.8
West,2023-07-30,106831.36,1379,47.92
North,2023-05-30,192425.2,3231,70.53
South,2023-01-03,401166.39,2267,44.09
East,2023-06-29,387842.44,3926,47.12
West,2023-08-22,336316.08,2272,95.54
North,2023-08-12,235291.23,4773,76.13
South,2023-01-06,373854.0,4220,13.48
East,2023-01-27,282859.1,4481,33.36
West,2023-08-23,397886.89,1018,75.71
North,2023-01-06,175907.38,3113,16.02
South,2023-06-20,165671.35,1921,43.04
East,2023-03-24,341325.25,1638,80.31
West,2023-11-22,141093.7,1975,13.13
North,2023-02-19,327218.41,1616,69.4
South,2023-03-16,193066.11,2113,20.16
East,2023-01-24,185526.66,1753,22.84
West,2023-02-10,374478.21,2921,98.27
North,2023-11-08,313274.61,3036,58.53
South,2023-07-04,133610.79,4986,88.68
East,2023-02-04,493837.53,4304,88.12
West,2023-11-30,211577.82,4435,56.91
North,2024-01-01,429621.15,1119,92.16
South,2023-11-23,494698.82,4362,98.77
East,2023-03-26,222711.37,3855,72.95
West,2023-10-12,264830.38,4585,25.34
North,2023-08-08,452737.02,4823,76.53
South,2023-10-30,483310.04,2876,10.12
East,2023-07-10,425438.44,3053,53.84
West,2023-10-08,355330.91,2186,23.91
North,2023-06-17,213598.63,4169,17.41
South,2023-08-25,243696.08,3458,9.34
East,2023-10-23,332437.58,2553,26.47
West,2023-09-14,390717.01,2253,16.11
North,2023-06-18,219361.51,2396,78.04
South,2023-04-15,234947.5,4134,46.4
East,2023-03-31,453002.89,1118,37.55
West,2023-07-19,246745.83,3084,0.15
North,2023-08-08,283253.37,4727,57.94
South,2023-02-15,216947.61,1358,8.28
East,2023-11-20,396432.99,2499,94.18
West,2023-05-27,197520.47,4830,32.61
North,2023-12-28,240902.04,3303,45.02
South,2023-09-27,404723.73,2472,68.76
East,2023-06-05,440493.43,3495,78.44
West,2023-01-07,420500.3,2532,61.6
North,2023-02-13,143244.32,1707,71.81
South,2023-11-18,362944.72,2799,61.7
East,2023-01-27,442326.21,3244,99.6
West,2023-04-11,429155.58,3704,43.65
North,2023-01-18,400829.86,1938,50.4
South,2023-11-28,222422.17,1027,42.65
East,2023-01-28,266156.63,4568,71.04
West,2023-10-18,208512.88,1483,4.73
North,2023-01-11,167888.65,3231,61.22
South,2023-06-13,162665.56,4555,52.62
East,2023-07-19,260943.81,3771,1.26
West,2023-02-07,328748.25,2757,66.04
North,2023-09-26,200447.65,1554,33.54
South,2023-06-11,383433.46,2321,2.43
East,2023-01-20,358621.2,1734,50.04
West,2023-03-06,272652.82,2855,44.09
North,2023-01-19,130544.54,1948,86.03
South,2023-05-14,204555.61,4928,38.64
East,2023-10-10,220012.5,4800,59.88
West,2023-10-20,288400.94,4873,55.25
North,2023-03-17,329176.25,3262,37.55
South,2023-01-15,292424.36,3842,21.67
East,2023-06-21,282928.93,2905,86.5
West,2023-03-07,231930.94,1394,97.19
North,2023-06-12,111009.84,3223,80.17
South,2023-01-25,278547.48,2792,64.77
East,2023-04-04,272730.32,1989,30.47
West,2023-03-17,113918.01,2759,19.41
North,2023-06-18,119363.26,3433,46.89
South,2023-03-01,419825.85,3948,9.96
East,2023-12-28,330457.8,3842,38.51
West,2023-02-27,419910.43,3198,58.67
North,2023-04-11,110948.25,4480,49.46
South,2023-04-01,476982.4,1204,32.6
East,2023-06-17,448612.03,3815,17.33
West,2023-02-13,449714.39,1367,61.57
North,2023-01-03,432698.57,2901,86.84
South,2023-07-19,417946.13,1205,82.23
East,2023-01-13,105096.29,2601,40.2
West,2023-12-17,281859.8,2282,39.63
North,2023-02-04,205837.39,1530,23.75
South,2023-10-24,164387.15,2064,7.67
East,2023-04-25,391701.51,4074,90.58
West,2023-07-19,151550.71,2401,60.01
North,2023-01-15,448726.12,4301,0.03
South,2023-06-10,442959.05,4930,42.83
East,2023-06-15,293807.59,3348,70.93
West,2023-06-05,486926.7,2986,66.22
North,2023-04-19,182529.93,4059,26.61
South,2023-08-15,225820.02,1533,80.58
East,2023-08-28,296613.54,2854,71.17
West,2023-08-25,100311.27,1927,13.42
North,2023-04-09,366961.17,4190,4.42
South,2023-12-16,483796.76,3440,0.06
East,2023-07-29,282489.45,4190,8.02
West,2023-02-05,309955.5,2007,2.49
North,2023-08-13,451369.15,4738,8.56
South,2023-08-26,490461.86,1678,34.39
East,2023-09-22,342794.87,1434,0.51
West,2023-07-14,173442.29,4462,27.46
North,2023-03-27,133757.52,4857,67.15
South,2023-02-28,288812.41,3608,44.03
East,2023-10-13,106799.04,2491,33.99
West,2023-07-31,273690.52,1153,89.19
North,2023-12-20,178179.29,4132,54.72
South,2023-11-18,209242.55,3302,3.04
East,2023-11-28,224875.59,4882,73.77
West,2023-09-20,223555.09,2782,46.06
North,2023-03-18,440777.54,4300,8.38
South,2023-09-28,411543.37,4710,87.5
East,2023-08-06,296306.33,2280,49.13
West,2023-10-01,148807.41,1033,31.46
North,2023-03-25,439118.51,3070,7.1
South,2023-10-13,467029.35,1535,83.92
East,2023-12-18,123563.69,3483,46.77
West,2023-11-11,363614.52,3351,60.39
North,2023-11-20,424836.85,4537,97.31
South,2023-10-14,359586.05,2935,77.54
East,2023-11-04,233871.29,3060,24.22
West,2023-04-02,150757.01,1806,77.02
North,2023-01-21,372954.35,2250,78.93
South,2023-10-14,396834.74,1219,81.87
East,2023-06-19,175799.06,4342,79.54
West,2023-03-29,116025.76,1547,62.38
North,2023-05-29,421509.77,4926,19.15
South,2023-01-03,350183.83,3897,94.53
East,2023-09-21,439706.48,4124,22.64
West,2023-10-13,108696.19,2891,46.17
North,2023-04-12,180826.46,2986,34.29
South,2023-09-24,414707.25,1606,78.57
East,2023-07-20,279132.96,4527,28.98
West,2023-06-21,330529.26,2258,49.21
North,2023-09-13,304031.83,4129,87.2
South,2023-06-26,244915.74,2359,49.05
East,2023-08-04,208543.81,1715,81.78
West,2023-10-01,102737.02,2512,80.01
North,2023-04-17,180068.1,1955,53.66
South,2023-05-08,248240.27,1333,42.94
East,2023-03-18,278351.09,3517,36.79
West,2023-04-05,336241.55,2230,20.42
North,2023-02-12,247905.37,4222,23.73
South,2023-12-14,457028.33,2462,98.85
East,2023-02-07,419386.44,4203,60.14
West,2023-01-09,393516.13,3325,59.32
North,2023-01-26,317367.24,4700,33.36
South,2023-09-19,109449.11,2152,30.16
East,2023-08-14,291848.48,3408,14.93
West,2023-09-02,388902.43,2351,91.39
North,2023-12-21,244637.91,2557,63.24
South,2023-07-01,294318.74,2489,74.01
East,2023-06-22,379019.35,2341,7.46
West,2023-04-12,195315.26,4962,39.43
North,2023-09-21,491995.49,3911,72.46
South,2023-09-21,255812.35,4374,89.84
East,2023-06-12,101175.06,1273,35.05
West,2023-04-04,285860.81,3602,34.08
North,2023-05-29,300395.81,1112,62.34
South,2023-11-25,118916.35,1001,58.34
East,2023-09-30,476949.76,2877,57.05
West,2023-05-25,410721.26,1269,11.06
North,2023-04-30,436969.86,1610,63.34
South,2023-04-20,113965.89,2221,0.86
East,2023-09-28,292434.02,4122,99.85
West,2023-07-26,267607.08,1129,15.02
North,2023-08-13,335704.46,3995,93.68
South,2023-10-27,477304.55,4162,96.45
East,2023-04-20,340597.3,2800,99.98
West,2023-07-02,467778.97,3739,67.83
North,2023-05-29,204699.53,2618,73.19
South,2023-04-16,337671.55,4377,87.18
East,2023-09-09,158490.8,4073,39.4
West,2023-06-20,377106.33,2532,0.44
North,2023-09-11,326701.84,2752,22.98
South,2023-04-24,496262.37,2022,14.22
East,2023-11-05,240881.56,2201,15.18
West,2023-12-05,138086.38,2187,15.22
North,2023-04-25,326102.79,2228,6.36
South,2023-10-16,479120.2,1883,77.91
East,2023-01-07,121613.27,3561,12.99
West,2023-09-26,113573.14,3145,66.68
North,2023-11-23,179949.71,3843,55.85
South,2023-02-07,389624.45,4178,4.59
East,2023-04-19,222893.63,3663,78.0
West,2023-04-17,255799.11,1727,78.71
North,2023-01-02,491523.74,1998,8.56
South,2023-08-06,332434.3,2428,27.58
East,2023-11-29,152668.67,3201,77.08
West,2023-12-08,154422.75,4511,98.06
North,2023-05-04,224995.51,2309,34.73
South,2023-02-06,442665.33,3468,41.78
East,2023-12-17,125913.92,1195,33.57
West,2023-07-21,276085.65,3685,28.1
North,2023-04-21,151210.84,2947,42.34
South,2023-06-03,299331.38,4872,15.01
East,2023-09-25,488319.06,3947,86.78
West,2023-06-07,410226.75,4730,14.94
North,2023-04-15,168137.19,2463,58.34
South,2023-02-20,252413.32,3898,16.5
East,2023-08-03,324900.67,2764,3.16
West,2023-01-12,351735.66,2175,77.46
North,2023-11-26,352987.96,4698,94.75
South,2023-04-08,171234.57,3724,11.86
East,2023-09-29,363801.26,1141,59.44
West,2023-04-19,164269.69,2594,56.31
North,2023-05-23,351172.54,1329,93.9
South,2023-11-04,225016.25,1463,64.65
East,2023-02-08,455572.19,4930,86.53
West,2023-11-14,385081.9,1103,79.49
North,2023-05-30,169394.92,1611,40.98
South,2023-07-14,348453.57,2609,37.23
East,2023-11-04,319952.22,1204,13.61
West,2023-09-21,208619.8,1748,96.03
North,2023-09-28,369665.89,2444,5.16
South,2023-03-30,287164.14,1819,32.75
East,2023-09-03,495023.35,2860,12.16
West,2023-01-18,204165.2,2681,20.67
North,2023-07-06,305296.91,2947,59.56
South,2023-03-04,342290.47,4218,41.37
East,2023-05-28,378232.98,4442,71.57
West,2023-06-19,164646.34,4174,74.62
North,2023-02-09,260588.76,4763,56.54
South,2023-05-14,267012.85,3925,70.03
East,2023-11-12,482838.28,1811,49.25
West,2023-11-18,214708.38,3102,4.28
North,2023-08-07,407641.63,2630,69.27
South,2023-08-03,239499.26,3325,77.23
East,2023-05-07,188009.33,1368,31.42
West,2023-08-13,278129.08,3906,77.26
North,2023-10-04,152359.24,2563,32.13
South,2023-02-21,488911.92,3439,96.0
East,2023-12-26,461620.27,1160,34.38
West,2023-03-20,463063.56,2208,4.07
North,2023-03-31,222513.64,2202,9.27
South,2023-10-31,125593.12,3150,8.41
East,2023-05-20,364623.47,3071,61.01
West,2023-08-28,417948.53,2673,24.05
North,2023-04-08,352762.81,4502,77.23
South,2023-04-26,371281.9,3723,35.39
East,2023-10-05,200750.14,3832,27.09
West,2023-11-09,233270.29,4118,9.46
North,2023-07-10,384999.51,1408,78.86
South,2023-01-21,119308.38,3308,15.82
East,2023-06-11,140114.62,4046,7.58
West,2023-07-26,243286.42,2627,14.52
North,2023-10-25,487153.9,3981,77.14
South,2023-05-02,184430.59,3637,4.4
East,2023-10-24,278832.32,1598,59.65
West,2023-10-11,282355.58,4198,29.92
North,2023-02-02,158101.87,3989,75.72
South,2023-02-08,367467.61,2889,13.33
East,2023-08-24,126918.34,1004,4.78
West,2023-01-28,293031.96,1694,43.91
North,2023-05-27,287017.51,2504,60.3
South,2023-01-16,498421.56,3471,85.03
East,2023-05-25,226912.62,3816,91.39
West,2023-09-04,124482.26,2264,16.79
North,2023-02-09,351865.24,2037,47.25
South,2023-03-16,447816.31,1373,85.6
East,2023-01-10,329073.8,3538,76.6
West,2023-02-10,371681.45,1294,9.62
North,2023-01-25,120303.61,2303,7.43
South,2023-08-23,210403.5,1473,77.96
East,2023-12-16,247209.62,3067,51.18
West,2023-03-21,335339.7,2135,51.29
North,2023-06-07,119061.33,3484,93.56
South,2023-04-13,168500.47,2615,2.25
East,2023-02-08,257537.44,3160,77.88
West,2023-05-13,220030.89,2651,83.8
North,2023-06-13,486559.6,3822,36.33
South,2023-06-07,398676.51,2223,26.39
East,2023-01-27,491271.66,2144,98.64
West,2023-12-23,486363.13,3700,13.94
North,2023-09-05,174214.12,1176,27.4
South,2023-09-03,485012.86,4129,87.65
East,2023-10-22,254040.99,3146,99.5
West,2023-04-12,418229.54,1622,57.88
North,2023-08-21,361052.84,4713,29.11
South,2023-05-28,306253.38,2282,69.72
East,2023-02-23,224804.07,1471,59.15
West,2023-05-25,207378.54,4764,44.67
North,2023-03-08,481802.4,2611,77.64
South,2023-05-22,483024.54,4481,79.79
East,2023-12-21,247031.19,3759,54.05
West,2023-12-04,450603.02,2871,86.22
North,2023-03-30,477196.88,3722,14.24
South,2023-07-21,438418.72,1437,10.63
East,2023-05-12,375422.38,1744,89.58
West,2023-12-20,195902.54,1699,18.64
North,2023-07-18,302516.9,2364,62.5
South,2023-05-12,479785.92,3328,29.94
East,2023-05-04,379725.93,4059,57.97
West,2023-12-01,161551.32,1495,88.23
North,2023-01-30,429676.21,1217,78.01
South,2023-09-08,154001.41,2456,80.41
East,2023-12-03,203811.47,2571,67.05
West,2023-03-05,197684.52,3218,17.39
North,2023-11-28,466726.57,2197,8.81
South,2023-05-29,413228.98,3068,56.86
East,2023-05-26,237461.07,3565,93.3
West,2023-06-15,397113.26,1386,88.49
North,2023-03-28,335242.53,3010,35.25
South,2023-06-07,427157.28,1669,38.79
East,2023-11-02,476974.05,4986,97.98
West,2023-06-25,402090.71,2067,44.89
North,2023-09-05,458112.49,3100,28.95
South,2023-02-07,221834.49,4700,41.21
East,2023-02-02,404214.68,2544,32.11
West,2023-03-25,162706.75,2398,72.83
North,2023-02-24,222085.37,2448,63.59
South,2023-10-01,167593.85,3913,48.58
East,2023-05-19,386544.03,2951,88.24
West,2023-02-17,141854.27,4227,34.61
North,2023-06-09,429387.0,2955,78.25
South,2023-07-19,435538.27,4498,60.14
East,2023-03-19,317285.72,3706,98.58
West,2023-12-10,243557.61,4885,24.16
North,2023-10-06,368138.98,1322,99.1
South,2023-02-24,114485.99,2726,83.06
East,2023-06-02,306099.98,3409,62.28
West,2023-04-12,347140.99,4422,65.7
North,2023-07-02,141288.03,4190,78.0
South,2023-11-07,453393.26,2376,85.76
East,2023-09-07,156915.28,2855,50.7
West,2023-08-19,384369.76,2292,69.06
North,2023-01-05,153051.42,3577,40.12
South,2023-08-24,316943.57,2410,15.11
East,2023-03-03,133033.68,2642,57.63
West,2023-08-12,200300.23,4349,62.57
North,2023-03-29,134943.3,1156,54.62
South,2023-06-08,159525.0,1107,18.22
East,2023-07-28,161455.97,4445,70.2
West,2023-07-24,184164.96,2586,25.73
North,2023-06-15,184684.19,4244,65.71
South,2023-06-04,375880.16,2428,20.33
East,2023-10-30,132036.6,3157,40.55
West,2023-11-13,310315.44,2145,67.14
North,2023-12-29,453986.53,1379,33.47
South,2023-01-23,427052.5,4468,80.77
East,2023-09-24,402275.0,4502,70.08
West,2023-03-10,179521.68,1910,3.52
North,2023-03-12,293711.28,4984,37.15
South,2023-04-02,220954.53,4617,63.1
East,2023-10-21,487265.63,2851,74.05
West,2023-09-17,253358.63,4938,29.77
North,2023-12-01,436099.87,3414,95.76
South,2023-12-14,225902.69,4741,71.09
East,2023-01-15,400623.28,2333,73.2
West,2023-03-24,298090.61,4185,49.98
North,2023-04-09,488171.76,3191,67.19
South,2023-03-09,115867.94,1430,90.07
East,2023-07-05,376885.74,4980,93.5
West,2023-06-03,426151.55,4632,97.89
North,2023-10-26,123573.31,1571,29.48
South,2023-04-02,289886.69,1884,91.39
East,2023-09-05,274519.17,4009,57.26
West,2023-03-07,462714.38,4995,97.21
North,2023-09-07,484248.4,1852,69.89
South,2023-11-26,498588.38,3927,80.99
East,2023-11-28,411963.07,2857,6.48
West,2023-05-21,117309.72,3924,28.82
North,2023-02-18,470061.98,3694,71.77
South,2023-09-18,210225.77,4306,47.48
East,2023-09-22,342883.5,4814,31.06
West,2023-07-20,364852.19,1061,21.59
North,2023-12-02,101716.87,4484,79.09
South,2023-02-12,379648.69,3824,12.21
East,2023-01-24,215801.11,4967,45.31
West,2023-03-26,380791.73,2073,19.71
North,2023-01-10,373926.59,3213,43.83
South,2023-03-29,167472.33,2991,54.57
East,2023-06-19,413691.0,3572,1.65
West,2023-12-15,280340.34,4530,99.01
North,2023-01-04,109131.53,1830,5.01
South,2023-03-07,381690.44,4486,73.17
East,2023-03-19,312251.36,4291,91.69
West,2023-07-28,193426.04,2629,40.64
North,2023-09-26,362082.98,2753,97.99
South,2023-09-30,121839.93,3280,29.37
East,2023-09-23,324249.05,3701,78.03
West,2023-10-11,336664.79,1527,11.74
North,2023-04-12,303824.75,1501,31.55
South,2023-05-30,468088.07,1287,95.75
East,2023-08-26,135280.53,1667,72.02
West,2023-10-08,279618.04,3835,6.62
North,2023-05-11,434001.67,4767,64.34
South,2023-05-28,328009.51,1746,78.59
East,2023-02-02,409201.0,2846,42.58
West,2023-03-26,494151.66,1695,20.18
North,2023-01-22,439888.77,4014,61.73
South,2023-08-21,210424.93,1958,81.03
East,2023-03-15,394433.28,3752,48.0
West,2023-03-02,425761.83,3152,63.46
North,2023-12-27,302757.98,2703,90.44
South,2023-05-03,373468.82,1975,80.47
East,2023-01-26,405255.91,2093,20.3
West,2023-11-13,314080.99,2384,3.9
North,2023-01-02,393938.01,1893,81.24
South,2023-01-29,345026.44,4490,35.73
East,2023-04-05,144318.8,1570,86.53
West,2023-02-18,378686.49,2741,60.61
North,2023-01-16,215398.78,2519,35.47
South,2023-11-04,246783.83,2343,15.07
East,2023-11-08,300248.33,3611,14.95
West,2023-07-01,305506.75,4313,9.61
North,2023-11-06,412213.11,2242,51.38
